STN,WSI,STARTT,STOPT,LOCATIE,TYPE,HOOGTE,POS_X,POS_Y,POS_NB,POS_OL
350,0-20000-0-06350,1951-01-01,9999-12-31,Gilze-Rijen Airport,Aerodrome,11.95,123.66,397.44,51.5650,4.9353
356,0-20000-0-06356,1989-10-12,9999-12-31,Herwijnen,Meteo site,0.66,138.33,429.94,51.8578,5.1453
370,0-20000-0-06370,1951-01-01,9999-12-31,Eindhoven Airport,Aerodrome,20.69,154.29,384.52,51.4497,5.3769
375,0-20000-0-06375,1951-02-01,9999-12-31,Volkel Airport,Aerodrome,19.85,177.11,407.80,51.6586,5.7067
377,0-20000-0-06377,1999-07-15,9999-12-31,Ell,Meteo site,30.0,181.23,356.43,51.1967,5.7625
380,0-20000-0-06380,1906-01-01,9999-12-31,Maastricht Airport,Aerodrome,112.72,181.36,324.01,50.9053,5.7619
391,0-20000-0-06391,1990-07-04,9999-12-31,Arcen,Meteo site,19.5,211.17,390.11,51.4972,6.1961
392,0-528-0-06392,2024-11-20,9999-12-31,Horst,Meteo site,21.88,201.46,388.87,51.4869,6.0561
871,0-20000-0-78871,2016-01-01,9999-12-31,Saba Airport,Meteo site,31.0,-7634.49,-297.45,17.6461,-63.2208
873,0-20000-0-78873,2016-01-01,9999-12-31,Sint Eustatius Airport,Meteo site,36.02,-7625.68,-338.16,17.4956,-62.9828
990,0-20000-0-78990,2013-01-01,9999-12-31,Bonaire Airport,Aerodrome,2.11,-8805.61,-358.74,12.1300,-68.2758
